HSGPA,COURSE,GRADE,PASS,UNITS_ENROLLED,STANDARDIZED_TEST_SCORE,STEM_MAJOR,,,,,
4.08,STAT 108,A,1,16,630,1,,,,,
3.8,STAT 108,A,1,14,620,1,,,,,
3.45,STAT 108,F,0,12,510,0,,,,,
3.25,STAT 108,W,0,15,530,0,,,,,
3.93,STAT 108,B,1,6,580,1,,,,,
3.63,STAT 108,C,1,15,630,0,,,,,
3.91,STAT 108,B,1,17,600,1,,,,,
3.03,STAT 108,C,1,15,550,0,,,,,
3.82,STAT 108,A,1,16,620,1,,,,,
3.78,STAT 108,B,1,12,690,1,,,,,
3.89,STAT 108,B,1,15,480,0,,,,,
4.2,STAT 108,A,1,15,620,1,,,,,
3.56,STAT 108,D,0,15,510,0,,,,,
3.84,STAT 108,D,0,15,640,0,,,,,
3.66,STAT 108,A,1,12,710,1,,,,,
3.21,STAT 108,W,0,15,520,0,,,,,
4.04,STAT 108,A,1,15,580,1,,,,,
3.19,STAT 108,F,0,15,520,0,,,,,
3.8,STAT 108,D,0,15,560,0,,,,,
4.25,STAT 108,A,1,15,510,1,,,,,
3.5,STAT 108,B,1,15,450,0,,,,,
3.94,STAT 108,A,1,15,580,0,,,,,
3.82,STAT 108,C,1,12,650,1,,,,,
3.9,STAT 108,C,1,15,580,0,,,,,
4.13,STAT 108,A,1,14,600,1,,,,,
3.09,STAT 108,C,1,14,620,0,,,,,
3.07,STAT 108,F,0,15,520,0,,,,,
3.11,STAT 108,F,0,14,600,0,,,,,
3.14,STAT 108,D,0,15,600,0,,,,,
3.92,STAT 108,B,1,12,660,1,,,,,
3.77,STAT 108,A,1,16,660,1,,,,,
3.6,STAT 108,C,1,15,600,0,,,,,
3.61,STAT 108,A,1,15,670,0,,,,,
3.21,STAT 108,B,1,18,570,0,,,,,
3.46,STAT 108,B,1,14,510,0,,,,,
4.13,STAT 108,A,1,14,510,1,,,,,
3.58,STAT 108,F,0,15,530,0,,,,,
3.57,STAT 108,WU,0,14,480,0,,,,,
3.92,STAT 108,B,1,14,510,0,,,,,
3.23,STAT 108,A,1,15,530,0,,,,,
3.29,STAT 108,B,1,14,530,0,,,,,
3.85,STAT 108,A,1,12,600,0,,,,,
3.76,STAT 108,B,1,14,510,0,,,,,
3.37,STAT 108,D,0,15,520,0,,,,,
3.2,STAT 108,B,1,15,520,0,,,,,
3.89,STAT 108,C,1,15,640,1,,,,,
3.87,STAT 108,A,1,12,620,0,,,,,
3.3,STAT 108,W,0,14,550,1,,,,,
4,STAT 108,B,1,12,620,1,,,,,
3.4,STAT 108,C,1,15,450,0,,,,,
3.65,STAT 108,A,1,14,660,1,,,,,
3.57,STAT 108,D,0,14,520,1,,,,,
3.22,STAT 108,D,0,15,570,0,,,,,
3.76,STAT 108,A,1,15,620,1,,,,,
3.76,STAT 108,F,0,14,510,0,,,,,
3.23,STAT 108,F,0,13,520,1,,,,,
3.56,STAT 108,A,1,15,640,1,,,,,
4,STAT 108,A,1,15,600,1,,,,,
3.41,STAT 108,A,1,12,600,0,,,,,
3.67,STAT 108,A,1,12,640,1,,,,,
3.76,STAT 108,C,1,15,520,0,,,,,
4.06,STAT 108,A,1,12,590,1,,,,,
3.7,STAT 108,A,1,16,670,0,,,,,
3.51,STAT 108,B,1,16,530,0,,,,,
3.9,STAT 108,C,1,15,710,1,,,,,
3.9,STAT 108,A,1,15,610,0,,,,,
3.91,STAT 108,B,1,15,590,0,,,,,
4.17,STAT 108,A,1,12,660,1,,,,,
3.67,STAT 108,B,1,15,520,0,,,,,
3.78,STAT 108,C,1,15,580,1,,,,,
3.42,STAT 108,C,1,15,530,0,,,,,
4.12,STAT 108,B,1,15,520,1,,,,,
3.4,STAT 108,W,0,15,530,0,,,,,
3.93,STAT 108,W,0,15,630,1,,,,,
3.81,STAT 108,B,1,14,640,1,,,,,
3.25,STAT 108,C,1,15,420,0,,,,,
3.85,STAT 108,C,1,15,580,1,,,,,
4.18,STAT 108,B,1,15,600,0,,,,,
4.14,STAT 108,A,1,15,580,1,,,,,
3.97,STAT 108,C,1,14,460,1,,,,,
3.03,STAT 108,W,0,15,570,0,,,,,
4.05,STAT 108,A,1,14,560,0,,,,,
3.74,STAT 108,C,1,15,620,0,,,,,
3.5,STAT 108,B,1,12,750,1,,,,,
3.78,STAT 108,C,1,15,540,0,,,,,
4.09,STAT 108,W,0,15,520,1,,,,,
3.29,STAT 108,F,0,15,520,0,,,,,
3.73,STAT 108,A,1,15,,0,,,,,
4.08,STAT 108,B,1,15,530,0,,,,,
3.8,STAT 108,B,1,16,600,0,,,,,
3.38,STAT 108,WU,0,14,570,0,,,,,
4.23,STAT 108,C,1,15,480,0,,,,,
3.68,STAT 108,C,1,15,540,0,,,,,
3.84,STAT 108,B,1,12,530,0,,,,,
4.11,STAT 108,A,1,15,570,0,,,,,
3.4,STAT 108,C,1,15,600,0,,,,,
3.61,STAT 108,B,1,15,590,1,,,,,
3.91,STAT 108,A,1,15,620,1,,,,,
4.15,STAT 108,A,1,15,490,0,,,,,
3.94,STAT 108,W,0,12,660,1,,,,,
4.08,STAT 108,B,1,15,570,1,,,,,
3.35,STAT 108,WU,0,15,520,0,,,,,
3.66,STAT 108,A,1,15,510,0,,,,,
3.5,STAT 108,F,0,15,520,0,,,,,
4.06,STAT 108,A,1,15,650,0,,,,,
4.03,STAT 108,B,1,12,620,1,,,,,
3.19,STAT 108,C,1,15,580,0,,,,,
4.11,STAT 108,C,1,15,560,1,,,,,
3.09,STAT 108,C,1,15,510,0,,,,,
3.23,STAT 108,C,1,15,600,0,,,,,
3.93,STAT 108,A,1,12,650,1,,,,,
3.18,STAT 108,B,1,15,560,0,,,,,
4.03,STAT 108,B,1,12,640,1,,,,,
4,STAT 108,A,1,12,690,1,,,,,
4,STAT 108,B,1,14,550,0,,,,,
3.43,STAT 108,C,1,15,580,0,,,,,
4.06,STAT 108,A,1,15,630,1,,,,,
2.94,STAT 108,W,0,14,530,0,,,,,
3.88,STAT 108,D,0,15,540,0,,,,,
3.68,STAT 108,A,1,15,520,0,,,,,
3.24,STAT 108,D,0,15,580,1,,,,,
3.53,STAT 108,W,0,14,600,0,,,,,
4,STAT 108,C,1,12,600,1,,,,,
2.66,STAT 108,W,0,15,620,0,,,,,
3.73,STAT 108,B,1,15,540,0,,,,,
3.76,STAT 108,W,0,14,550,0,,,,,
4.03,STAT 108,A,1,16,630,1,,,,,
3.96,STAT 108,A,1,14,620,1,,,,,
3.93,STAT 108,A,1,15,620,0,,,,,
3.52,STAT 108,C,1,15,560,0,,,,,
3.81,STAT 108,B,1,15,680,1,,,,,
3.39,STAT 108,C,1,15,670,0,,,,,
4.06,STAT 108,C,1,16,620,1,,,,,
3.77,STAT 108,C,1,14,560,0,,,,,
3.97,STAT 108,A,1,15,660,1,,,,,
3.78,STAT 108,C,1,12,710,1,,,,,
3.53,STAT 108,C,1,15,520,0,,,,,
3.41,STAT 108,A,1,16,580,1,,,,,
3.4,STAT 108,F,0,15,520,0,,,,,
3.96,STAT 108,C,1,15,570,0,,,,,
3.7,STAT 108,B,1,15,730,1,,,,,
4.33,STAT 108,A,1,15,560,1,,,,,
4.15,STAT 108,A,1,15,650,1,,,,,
3.86,STAT 108,A,1,14,690,1,,,,,
3.2,STAT 108,C,1,15,530,0,,,,,
4.11,STAT 108,A,1,15,710,1,,,,,
4,STAT 108,A,1,15,610,1,,,,,
4.23,STAT 108,C,1,12,500,0,,,,,
3.25,STAT 108,F,0,12,530,0,,,,,
3.9,STAT 108,A,1,15,520,0,,,,,
3.89,STAT 108,B,1,15,560,0,,,,,
3.9,STAT 108,B,1,15,690,1,,,,,
4,STAT 108,A,1,15,640,1,,,,,
3.96,STAT 108,B,1,12,570,1,,,,,
3.56,STAT 108,B,1,15,690,1,,,,,
4.16,STAT 108,A,1,15,580,1,,,,,
3.67,STAT 108,F,0,15,480,0,,,,,
4.21,STAT 108,A,1,14,580,1,,,,,
3.53,STAT 108,A,1,15,520,0,,,,,
3.7,STAT 108,A,1,15,590,0,,,,,
3.48,STAT 108,C,1,14,530,0,,,,,
3.4,STAT 108,C,1,15,530,0,,,,,
4.25,STAT 108,A,1,12,680,1,,,,,
3.59,STAT 108,B,1,15,760,1,,,,,
4.12,STAT 108,A,1,15,550,1,,,,,
2.61,STAT 108,F,0,13,500,0,,,,,
4.12,STAT 108,A,1,14,640,1,,,,,
3.46,STAT 108,B,1,15,640,1,,,,,
3.95,STAT 108,B,1,15,580,1,,,,,
4.1,STAT 108,B,1,15,500,0,,,,,
3.29,STAT 108,D,0,15,480,0,,,,,
3.2,STAT 108,WU,0,15,530,0,,,,,
4.22,STAT 108,B,1,12,690,1,,,,,
3.84,STAT 108,A,1,12,700,1,,,,,
4.06,STAT 108,B,1,15,620,1,,,,,
3.82,STAT 108,B,1,14,600,0,,,,,
4,STAT 108,B,1,15,640,0,,,,,
4.17,STAT 108,A,1,15,620,1,,,,,
2.93,STAT 108,W,0,15,460,0,,,,,
3.78,STAT 108,A,1,15,670,0,,,,,
3.97,STAT 108,A,1,15,640,1,,,,,
3.62,STAT 108,A,1,16,600,1,,,,,
3.5,STAT 108,WU,0,15,580,0,,,,,
3.8,STAT 108,A,1,15,710,1,,,,,
4,STAT 108,A,1,15,500,0,,,,,
4.22,STAT 108,A,1,15,640,1,,,,,
3.73,STAT 108,B,1,15,570,0,,,,,
2.78,STAT 108,F,0,12,560,0,,,,,
3.71,STAT 108,W,0,16,520,0,,,,,
3.68,STAT 108,A,1,15,670,1,,,,,
3.5,STAT 108,F,0,15,640,0,,,,,
3.57,STAT 108,B,1,15,620,0,,,,,
4.09,STAT 108,A,1,12,620,1,,,,,
3.96,STAT 108,A,1,14,640,1,,,,,
3.62,STAT 108,A,1,16,690,1,,,,,
3.12,STAT 108,C,1,15,520,0,,,,,
3.12,STAT 108,F,0,15,490,0,,,,,
3.69,STAT 108,F,0,15,500,0,,,,,
3.78,STAT 108,C,1,14,530,0,,,,,
3.64,STAT 108,C,1,15,560,0,,,,,
3.14,STAT 108,W,0,15,570,0,,,,,
3.73,STAT 108,C,1,14,480,0,,,,,
4.08,STAT 108,A,1,13,630,1,,,,,
3.23,STAT 108,A,1,15,630,0,,,,,
3.7,STAT 108,A,1,13,640,1,,,,,
3.6,STAT 108,C,1,15,480,0,,,,,
3.54,STAT 108,A,1,15,500,0,,,,,
4.13,STAT 108,B,1,15,590,0,,,,,
3.33,STAT 108,A,1,15,740,1,,,,,
3.03,STAT 108,F,0,12,530,0,,,,,
4.05,STAT 108,A,1,15,590,1,,,,,
3.26,STAT 108,F,0,15,460,0,,,,,
3.61,STAT 108,C,1,15,580,0,,,,,
4,STAT 108,A,1,15,600,0,,,,,
3.11,STAT 108,D,0,15,620,0,,,,,
3.38,STAT 108,A,1,16,510,0,,,,,
3.25,STAT 108,A,1,15,570,0,,,,,
3.02,STAT 108,C,1,15,730,0,,,,,
3.61,STAT 108,A,1,12,780,1,,,,,
2.91,STAT 108,F,0,15,480,0,,,,,
3.94,STAT 108,A,1,15,620,1,,,,,
4.21,STAT 108,B,1,15,630,1,,,,,
3.54,STAT 108,A,1,15,710,1,,,,,
3.92,STAT 108,B,1,15,580,0,,,,,
3.5,STAT 108,C,1,14,550,0,,,,,
3.6,STAT 108,A,1,15,640,1,,,,,
3.42,STAT 108,C,1,15,430,0,,,,,
3.68,STAT 108,C,1,15,700,1,,,,,
3.5,STAT 108,C,1,15,520,0,,,,,
3.83,STAT 108,W,0,15,620,1,,,,,
3.15,STAT 108,C,1,15,630,0,,,,,
3.65,STAT 108,W,0,15,530,0,,,,,
3.77,STAT 108,B,1,15,540,0,,,,,
3.79,STAT 108,D,0,15,470,0,,,,,
3.5,STAT 108,B,1,15,570,0,,,,,
3.22,STAT 108,C,1,12,510,0,,,,,
3.55,STAT 108,C,1,15,520,0,,,,,
4.14,STAT 108,C,1,13,580,1,,,,,
4,STAT 108,B,1,12,640,1,,,,,
3,STAT 108,D,0,15,560,0,,,,,
3.21,STAT 108,D,0,15,550,0,,,,,
3.83,STAT 108,A,1,15,620,0,,,,,
3.15,STAT 108,D,0,12,510,0,,,,,
4.02,STAT 108,A,1,12,720,1,,,,,
4.02,STAT 108,B,1,14,590,0,,,,,
3.84,STAT 108,B,1,15,590,1,,,,,
3.46,STAT 108,F,0,15,510,0,,,,,
4.02,STAT 108,B,1,15,590,0,,,,,
4.16,STAT 108,A,1,15,710,1,,,,,
3.91,STAT 108,A,1,18,720,1,,,,,
3.9,STAT 108,A,1,16,630,1,,,,,
3.93,STAT 108,A,1,15,640,1,,,,,
3.4,STAT 108,C,1,15,490,0,,,,,
3.81,STAT 108,D,0,15,530,0,,,,,
3.48,STAT 108,A,1,16,600,0,,,,,
3.75,STAT 108,C,1,15,560,0,,,,,
3.5,STAT 108,A,1,15,580,1,,,,,
3.21,STAT 108,C,1,15,610,0,,,,,
3.14,STAT 108,C,1,15,510,0,,,,,
3.09,STAT 108,C,1,12,520,0,,,,,
3.48,STAT 108,B,1,15,660,1,,,,,
4,STAT 108,A,1,12,570,1,,,,,
3.09,STAT 108,C,1,12,510,0,,,,,
3.55,STAT 108,A,1,15,600,0,,,,,
3.88,STAT 108,B,1,15,550,1,,,,,
3.81,STAT 108,A,1,12,660,1,,,,,
3.82,STAT 108,A,1,15,540,0,,,,,
4,STAT 108,A,1,16,600,1,,,,,
3.33,STAT 108,D,0,15,590,0,,,,,
4.1,STAT 108,C,1,12,730,1,,,,,
3.93,STAT 108,C,1,15,650,1,,,,,
3.52,STAT 108,C,1,15,520,0,,,,,
3.9,STAT 108,A,1,15,640,1,,,,,
3.52,STAT 108,C,1,16,690,1,,,,,
3.73,STAT 108,B,1,15,610,0,,,,,
3.14,STAT 108,D,0,15,500,0,,,,,
3.5,STAT 108,B,1,15,740,1,,,,,
3.71,STAT 108,C,1,15,490,1,,,,,
4.06,STAT 108,C,1,15,540,0,,,,,
3.8,STAT 108,A,1,16,640,1,,,,,
3.93,STAT 108,A,1,15,650,1,,,,,
3.06,STAT 108,F,0,15,550,0,,,,,
4.46,STAT 108,F,0,15,460,0,,,,,
3.68,STAT 108,A,1,15,690,1,,,,,
3.5,STAT 108,B,1,15,660,1,,,,,
3.06,STAT 108,F,0,15,570,0,,,,,
4.09,STAT 108,A,1,12,640,1,,,,,
3.17,STAT 108,B,1,16,530,0,,,,,
3.96,STAT 108,A,1,16,600,1,,,,,
2.81,STAT 108,F,0,16,610,0,,,,,
3.584,STAT 108,B,1,14,700,0,,,,,
4.2,STAT 108,A,1,12,660,1,,,,,
3.06,STAT 108,W,0,15,550,0,,,,,
3.28,STAT 108,D,0,15,500,0,,,,,
4.21,STAT 108,W,0,15,540,0,,,,,
